;Company;Job;Location;Salary;Salary_2;Sal_avg
459;University of Miami;Assistant Scientist/Postdoctoral Associate;Coral Gables, FL;53900;65000;59450
695;University of Miami;(Temporary) Research Laboratory Technician;Coral Gables, FL;27400;49400;38400
817;Morgan Stephens;Librarian Research Analyst;Miami, FL;75000;85000;80000
15;Engineering Resource Group, Inc.;Lead Machine Learning Data Analyst;Boston, MA 02122 (South Dorchester area);85000;110000;97500
33;Harnham;DATA SCIENTIST TEAM MANAGER, CUTTING EDGE TECH BUSINESS;Cambridge, MA;180000;0;180000
48;Neurable;Machine Learning Engineer;Cambridge, MA;90000;120000;105000
94;Jobspring Partners;Data Scientist;Boston, MA 02116 (South End area);80000;100000;90000
98;Jobspring Partners;Senior Data Scientist;Boston, MA 02116 (South End area);150000;0;150000
101;Big Wednesday Digital;Data Engineer (ElasticSearch/Kafka) -global eCommerce - Bang...;Framingham, MA 01701;50000;125000;87500
148;John Leonard;Competitive Research Analyst #23654;Boston, MA;65000;80000;72500
169;Rifiniti;Assistant to the President;Boston, MA;55000;0;55000
227;Commonwealth of Massachusetts;Research Data Analyst;Boston, MA;65232;92625;78928
292;Harnham;DIRECTOR OF DATA SCIENCE - RETAIL;Boston, MA;200000;0;200000
316;Liberty Mutual Insurance;Assistant Director¸ Predictive Modeling;Boston, MA;108900;161000;134950
335;The Bivium Group;Web Developers* (new full stack MEAN.JS core product develop...;Framingham, MA;80000;130000;105000
367;Fanning Personnel;Senior Research Analyst;Boston, MA 02116 (South End area);95000;0;95000
369;The Bivium Group;Lead Ruby on Rails Architect - CTOs Right Hand;Boston, MA;130000;150000;140000
428;US Engineering Technical Services;Data Analyst;Wilmington, MA;110000;0;110000
450;The Bivium Group;Front-End Developer, new web products and apps, learn mobile;Cambridge, MA;75000;140000;107500
471;Northeastern University;Research Scientist;Boston, MA 02115 (Fenway-Kenmore area);60000;0;60000
476;Harnham;DATA SCIENTIST, HEALTHCARE;Boston, MA;130000;0;130000
485;Liberty Mutual Insurance;Senior Software Developer;Boston, MA;98800;126700;112750
494;Jobspring Partners;Senior Software Engineer;Boston, MA 02116 (South End area);100000;110000;105000
498;The Bivium Group;Software Engineers - new consumer mobile app, learn iOS, And...;Cambridge, MA;90000;140000;115000
504;NewAgeSys,Inc;Biologist / Bench Scientist I;Andover, MA;42000;0;42000
601;Commonwealth of Massachusetts;Laboratory Technician I;Maynard, MA;36381;48462;42421
610;Strategic Employment Partners;Lead Data Scientist;Cambridge, MA;150000;0;150000
625;Selby Jennings;Catastrophe Risk Analyst - Quantitative;Boston, MA;75000;120000;97500
647;The Bivium Group;Data Engineer - Big Data Services, AWS;Cambridge, MA;110000;140000;125000
655;BIG 6 Search International;Practice Leader for Management Consulting in Pharma Clinical...;Boston, MA;175000;250000;212500
681;Workbridge Associates;Senior Machine Learning Engineer;Boston, MA;110000;170000;140000
703;Jobspring Partners;Senior Java Developer;Boston, MA 02116 (South End area);150000;0;150000
712;The Bivium Group;Data Scientist - healthcare, hacking coding skills;Cambridge, MA;90000;140000;115000
713;Strategic Employment Partners;Data Scientist;Cambridge, MA;90000;135000;112500
786;Bedford Research Foundation;SPAR Program Coordinator;Bedford, MA 01730;35000;50000;42500
797;Domeyard LP;High Performance Computing Scientist needed for HFT Firm;Boston, MA 02110 (Central area);120000;0;120000
804;Harnham;SENIOR DATA SCIENTIST, LEADING INSURANCE BUSINESS;Boston, MA;160000;0;160000
807;Analytic Recruiting;Quantitative Analyst or Manager Decision Sciences;Boston, MA;90000;130000;110000
811;Commonwealth of Massachusetts;Part-time JDAI Research Analyst;Boston, MA;53415;76469;64942
836;Commonwealth of Massachusetts;Director of Science, Technology, Engineering and Mathematics...;Malden, MA;44590;119145;81867
838;Execu | Search;Quantitative Research Analyst;Boston, MA;110000;150000;130000
843;The Bivium Group;Data Visualization Developer - all new d3 based development;Framingham, MA;80000;130000;105000
855;Harnham;DATA SCIENTIST, ECOMMERCE ANALYTICS;Boston, MA;160000;0;160000
881;The Centrics Group;Data Scientist;Cambridge, MA 02141 (East Cambridge area);110000;0;110000
909;The Bivium Group;Web Engineers, full-stack - total greenfields (python/flask/...;Cambridge, MA;70000;120000;95000
930;Jobspring Partners;Lead .NET Software Engineer;Cambridge, MA;110000;140000;125000
943;Commonwealth of Massachusetts;Hematology Supervisor;Boston, MA;54792;77430;66111
990;Commonwealth of Massachusetts;Research Analyst I;Boston, MA;47860;67712;57786
